id,gender,age,industry,sign,date,text,tokens,token_count,freq_dist
4101898,female,23,Agriculture,Leo,"08,August,2004","                 I just realized I had my blog set up so only blogger.com members could leave comments. Well, now anyone can. =) So leave me some - they're fun to read.       ","['I', 'just', 'realized', 'I', 'had', 'my', 'blog', 'set', 'up', 'so', 'only', 'blogger.com', 'members', 'could', 'leave', 'comments', '.', 'Well', ',', 'now', 'anyone', 'can', '.', '=', ')', 'So', 'leave', 'me', 'some', '-', 'they', ""'re"", 'fun', 'to', 'read', '.']",36,<FreqDist with 32 samples and 36 outcomes>
95161,male,39,indUnk,Capricorn,"29,July,2004","                  urlLink A Blogger Manifesto  Why online weblogs are one future for journalism. This is a clearly written argument for blogging by professional writers, but there is still room for us amateurs.             ","['urlLink', 'A', 'Blogger', 'Manifesto', 'Why', 'online', 'weblogs', 'are', 'one', 'future', 'for', 'journalism', '.', 'This', 'is', 'a', 'clearly', 'written', 'argument', 'for', 'blogging', 'by', 'professional', 'writers', ',', 'but', 'there', 'is', 'still', 'room', 'for', 'us', 'amateurs', '.']",34,<FreqDist with 30 samples and 34 outcomes>
449628,male,34,indUnk,Aries,"26,June,2002","              Time Management - The Pickle Jar Theory    urlLink A List Apart - for people who make websites .  From new ALA contributing writer Jeremy Wright:  'The latest theory of Time Management I heard has actually caused me to stop and think about how I run my entire life. This kind of thing doesnt happen very often, and no I dont mean thinking, cheeky readers! The theory that was recently taught in a Leadership course Im enduring is called the  urlLink Pickle Jar Theory .'  I actually remember hearing this illustration at a  urlLink FranklinCovey  seminar, but, since I haven't put it into practice, I am glad to be reminded of it once again.         ","['Time', 'Management', '-', 'The', 'Pickle', 'Jar', 'Theory', 'urlLink', 'A', 'List', 'Apart', '-', 'for', 'people', 'who', 'make', 'websites', '.', 'From', 'new', 'ALA', 'contributing', 'writer', 'Jeremy', 'Wright', ':', ""'The"", 'latest', 'theory', 'of', 'Time', 'Management', 'I', 'heard', 'has', 'actually', 'caused', 'me', 'to', 'stop', 'and', 'think', 'about', 'how', 'I', 'run', 'my', 'entire', 'life', '.', 'This', 'kind', 'of', 'thing', 'doesnt', 'happen', 'very', 'often', ',', 'and', 'no', 'I', 'dont', 'mean', 'thinking', ',', 'cheeky', 'readers', '!', 'The', 'theory', 'that', 'was', 'recently', 'taught', 'in', 'a', 'Leadership', 'course', 'Im', 'enduring', 'is', 'called', 'the', 'urlLink', 'Pickle', 'Jar', 'Theory', '.', ""'"", 'I', 'actually', 'remember', 'hearing', 'this', 'illustration', 'at', 'a', 'urlLink', 'FranklinCovey', 'seminar', ',', 'but', ',', 'since', 'I', 'have', ""n't"", 'put', 'it', 'into', 'practice', ',', 'I', 'am', 'glad', 'to', 'be', 'reminded', 'of', 'it', 'once', 'again', '.']",124,<FreqDist with 95 samples and 124 outcomes>
3386158,female,17,Student,Gemini,"12,July,2004","       shameless enough and yet i did it once again. bunked my tuts and ran off to watch laws of attraction. and i also learned a few 'laws' myself. i ill start yapping of by describin these two 'bastards'. well so i was on my usual boy-watching spree and there was this one feller, with a blue tee with yellow checks, and this other feller with a blue tee which had black sleeves. and it so happened that the feller(blue tee with yellow checks) happened to kick butt and the other sucked! so while i was busy yapping about the blue hunk to my pals (unfortunatly forgot to specify which blue 'hunk', the yummy or the yucky)it so happened that the yucky happned to overhear me yapping about some blue 'hunk' and the dog thought i was yapping aout him and well all bloody red in face and oooohhhh forget it. ill rest my case.   BOTTOM LINE: ALL BOYS ARE BASTARDS!!!!     ","['shameless', 'enough', 'and', 'yet', 'i', 'did', 'it', 'once', 'again', '.', 'bunked', 'my', 'tuts', 'and', 'ran', 'off', 'to', 'watch', 'laws', 'of', 'attraction', '.', 'and', 'i', 'also', 'learned', 'a', 'few', ""'laws"", ""'"", 'myself', '.', 'i', 'ill', 'start', 'yapping', 'of', 'by', 'describin', 'these', 'two', ""'bastards"", ""'"", '.', 'well', 'so', 'i', 'was', 'on', 'my', 'usual', 'boy-watching', 'spree', 'and', 'there', 'was', 'this', 'one', 'feller', ',', 'with', 'a', 'blue', 'tee', 'with', 'yellow', 'checks', ',', 'and', 'this', 'other', 'feller', 'with', 'a', 'blue', 'tee', 'which', 'had', 'black', 'sleeves', '.', 'and', 'it', 'so', 'happened', 'that', 'the', 'feller', '(', 'blue', 'tee', 'with', 'yellow', 'checks', ')', 'happened', 'to', 'kick', 'butt', 'and', 'the', 'other', 'sucked', '!', 'so', 'while', 'i', 'was', 'busy', 'yapping', 'about', 'the', 'blue', 'hunk', 'to', 'my', 'pals', '(', 'unfortunatly', 'forgot', 'to', 'specify', 'which', 'blue', ""'hunk"", ""'"", ',', 'the', 'yummy', 'or', 'the', 'yucky', ')', 'it', 'so', 'happened', 'that', 'the', 'yucky', 'happned', 'to', 'overhear', 'me', 'yapping', 'about', 'some', 'blue', ""'hunk"", ""'"", 'and', 'the', 'dog', 'thought', 'i', 'was', 'yapping', 'aout', 'him', 'and', 'well', 'all', 'bloody', 'red', 'in', 'face', 'and', 'oooohhhh', 'forget', 'it', '.', 'ill', 'rest', 'my', 'case', '.', 'BOTTOM', 'LINE', ':', 'ALL', 'BOYS', 'ARE', 'BASTARDS', '!', '!', '!', '!']",186,<FreqDist with 102 samples and 186 outcomes>
834914,male,24,indUnk,Aries,"01,July,2004","                 Its surprising what will keep your interest when you get little to no sleep. I have been playing  urlLink Karaoke Revolution  for the PS2 with my wife in those times between naps.  Its kind of addictive and I've never been that great a singer.  So far, we're doing pretty good, we're better at this then we are at  urlLink Dance Dance Revolution  (yes, I do own the dance pads).  You sing Karaoke using the PS2 headset for that Brittney Spears appearance and the games rates your ability to hit the right notes at the right time.  My best luck has been with ' Everything You Want ' while my wife has dominated the game singing ' Are You Happy Now? ' and ' Addicted '. If no one will challenge me at CS maybe I can get a Karaoke Deathmatch arranged for any daring enough to bring their pipes and an ounce of courage. You up for it  urlLink Fish ?  Or do you just want to lose at Counter Strike?      ","['Its', 'surprising', 'what', 'will', 'keep', 'your', 'interest', 'when', 'you', 'get', 'little', 'to', 'no', 'sleep', '.', 'I', 'have', 'been', 'playing', 'urlLink', 'Karaoke', 'Revolution', 'for', 'the', 'PS2', 'with', 'my', 'wife', 'in', 'those', 'times', 'between', 'naps', '.', 'Its', 'kind', 'of', 'addictive', 'and', 'I', ""'ve"", 'never', 'been', 'that', 'great', 'a', 'singer', '.', 'So', 'far', ',', 'we', ""'re"", 'doing', 'pretty', 'good', ',', 'we', ""'re"", 'better', 'at', 'this', 'then', 'we', 'are', 'at', 'urlLink', 'Dance', 'Dance', 'Revolution', '(', 'yes', ',', 'I', 'do', 'own', 'the', 'dance', 'pads', ')', '.', 'You', 'sing', 'Karaoke', 'using', 'the', 'PS2', 'headset', 'for', 'that', 'Brittney', 'Spears', 'appearance', 'and', 'the', 'games', 'rates', 'your', 'ability', 'to', 'hit', 'the', 'right', 'notes', 'at', 'the', 'right', 'time', '.', 'My', 'best', 'luck', 'has', 'been', 'with', ""'"", 'Everything', 'You', 'Want', ""'"", 'while', 'my', 'wife', 'has', 'dominated', 'the', 'game', 'singing', ""'"", 'Are', 'You', 'Happy', 'Now', '?', ""'"", 'and', ""'"", 'Addicted', ""'"", '.', 'If', 'no', 'one', 'will', 'challenge', 'me', 'at', 'CS', 'maybe', 'I', 'can', 'get', 'a', 'Karaoke', 'Deathmatch', 'arranged', 'for', 'any', 'daring', 'enough', 'to', 'bring', 'their', 'pipes', 'and', 'an', 'ounce', 'of', 'courage', '.', 'You', 'up', 'for', 'it', 'urlLink', 'Fish', '?', 'Or', 'do', 'you', 'just', 'want', 'to', 'lose', 'at', 'Counter', 'Strike', '?']",188,<FreqDist with 121 samples and 188 outcomes>
316316,female,24,Education,Virgo,"21,December,2003","             I swear, time goes so much slower here than it does anywhere else on the planet. Not totally in a bad way, but it's so strange. I feel like I've been here for a year already, and I've just been here since Wednesday night.  All is going reasonably well, though. It is amazing how much better I get along with them than I used to. No political arguments yet, and I'm pretty proud. We even discussed socialized healthcare, and there was no fight. Partially that's because they are beginning to come around to my way of thinking on their own ('bout damn time!) and partially it's because I am learning, in my old age, that some arguments are just not worth having. I'm not going to change their minds, at least not both at the same time, and even having the discussion just makes things uncomfortable. There are some things (well, most important things really, but I'm not going to think too much abou that right now) that I don't have any reason to talk to them about.  Being here is strange, though. I feel myself conciously having to struggle against reverting to my younger behavior. It really highlights for me how I am a different person now than I was at 16, or even 19 or 21. These past couple of years have made worlds of difference. Part of it, I'm sure, is pharmaceutical (mmm...antidepressants), but part of it is just growing up. I don't begrudge helping out around here when I am here now--in fact, I welcome the opportunity. Sounds mature to me!  Before I get too impressed with myself, though, I do have to admit that being here makes me eat asbsolute crap. I cannot believe the amount of junk food I've consumed in the past few days. According to my calorie count I'm still within reasonable levels, but there are very few nutrients in my system. I guess it's only for another week, though, and then I go back home, where it's easier to eat well. I'm not going to lose too much sleep over it. I'm keeping up with yoga and cardio, so that's good. Maybe tomorrow I will take another long walk. It seems to want to rain here, though, so maybe not.  I could go on and on forever and still have nothing new to say about family dynamics. I swear it's one of the very weirdest subjects on Earth. It's one more reason I don't want to have kids--I wouldn't want my kids to feel the sense of pity/incredulousness/worry/distain/love for me that I do for my parents. It feels bad enough from this side. I really wish my relationship with them could be completely untroubled, I wish I could understand them and they could understand me. But right now, I am pretty happy to settle for peace, even if it does feel a little bit shallow.         ","['I', 'swear', ',', 'time', 'goes', 'so', 'much', 'slower', 'here', 'than', 'it', 'does', 'anywhere', 'else', 'on', 'the', 'planet', '.', 'Not', 'totally', 'in', 'a', 'bad', 'way', ',', 'but', 'it', ""'s"", 'so', 'strange', '.', 'I', 'feel', 'like', 'I', ""'ve"", 'been', 'here', 'for', 'a', 'year', 'already', ',', 'and', 'I', ""'ve"", 'just', 'been', 'here', 'since', 'Wednesday', 'night', '.', 'All', 'is', 'going', 'reasonably', 'well', ',', 'though', '.', 'It', 'is', 'amazing', 'how', 'much', 'better', 'I', 'get', 'along', 'with', 'them', 'than', 'I', 'used', 'to', '.', 'No', 'political', 'arguments', 'yet', ',', 'and', 'I', ""'m"", 'pretty', 'proud', '.', 'We', 'even', 'discussed', 'socialized', 'healthcare', ',', 'and', 'there', 'was', 'no', 'fight', '.', 'Partially', 'that', ""'s"", 'because', 'they', 'are', 'beginning', 'to', 'come', 'around', 'to', 'my', 'way', 'of', 'thinking', 'on', 'their', 'own', '(', ""'bout"", 'damn', 'time', '!', ')', 'and', 'partially', 'it', ""'s"", 'because', 'I', 'am', 'learning', ',', 'in', 'my', 'old', 'age', ',', 'that', 'some', 'arguments', 'are', 'just', 'not', 'worth', 'having', '.', 'I', ""'m"", 'not', 'going', 'to', 'change', 'their', 'minds', ',', 'at', 'least', 'not', 'both', 'at', 'the', 'same', 'time', ',', 'and', 'even', 'having', 'the', 'discussion', 'just', 'makes', 'things', 'uncomfortable', '.', 'There', 'are', 'some', 'things', '(', 'well', ',', 'most', 'important', 'things', 'really', ',', 'but', 'I', ""'m"", 'not', 'going', 'to', 'think', 'too', 'much', 'abou', 'that', 'right', 'now', ')', 'that', 'I', 'do', ""n't"", 'have', 'any', 'reason', 'to', 'talk', 'to', 'them', 'about', '.', 'Being', 'here', 'is', 'strange', ',', 'though', '.', 'I', 'feel', 'myself', 'conciously', 'having', 'to', 'struggle', 'against', 'reverting', 'to', 'my', 'younger', 'behavior', '.', 'It', 'really', 'highlights', 'for', 'me', 'how', 'I', 'am', 'a', 'different', 'person', 'now', 'than', 'I', 'was', 'at', '16', ',', 'or', 'even', '19', 'or', '21', '.', 'These', 'past', 'couple', 'of', 'years', 'have', 'made', 'worlds', 'of', 'difference', '.', 'Part', 'of', 'it', ',', 'I', ""'m"", 'sure', ',', 'is', 'pharmaceutical', '(', 'mmm', '...', 'antidepressants', ')', ',', 'but', 'part', 'of', 'it', 'is', 'just', 'growing', 'up', '.', 'I', 'do', ""n't"", 'begrudge', 'helping', 'out', 'around', 'here', 'when', 'I', 'am', 'here', 'now', '--', 'in', 'fact', ',', 'I', 'welcome', 'the', 'opportunity', '.', 'Sounds', 'mature', 'to', 'me', '!', 'Before', 'I', 'get', 'too', 'impressed', 'with', 'myself', ',', 'though', ',', 'I', 'do', 'have', 'to', 'admit', 'that', 'being', 'here', 'makes', 'me', 'eat', 'asbsolute', 'crap', '.', 'I', 'can', 'not', 'believe', 'the', 'amount', 'of', 'junk', 'food', 'I', ""'ve"", 'consumed', 'in', 'the', 'past', 'few', 'days', '.', 'According', 'to', 'my', 'calorie', 'count', 'I', ""'m"", 'still', 'within', 'reasonable', 'levels', ',', 'but', 'there', 'are', 'very', 'few', 'nutrients', 'in', 'my', 'system', '.', 'I', 'guess', 'it', ""'s"", 'only', 'for', 'another', 'week', ',', 'though', ',', 'and', 'then', 'I', 'go', 'back', 'home', ',', 'where', 'it', ""'s"", 'easier', 'to', 'eat', 'well', '.', 'I', ""'m"", 'not', 'going', 'to', 'lose', 'too', 'much', 'sleep', 'over', 'it', '.', 'I', ""'m"", 'keeping', 'up', 'with', 'yoga', 'and', 'cardio', ',', 'so', 'that', ""'s"", 'good', '.', 'Maybe', 'tomorrow', 'I', 'will', 'take', 'another', 'long', 'walk', '.', 'It', 'seems', 'to', 'want', 'to', 'rain', 'here', ',', 'though', ',', 'so', 'maybe', 'not', '.', 'I', 'could', 'go', 'on', 'and', 'on', 'forever', 'and', 'still', 'have', 'nothing', 'new', 'to', 'say', 'about', 'family', 'dynamics', '.', 'I', 'swear', 'it', ""'s"", 'one', 'of', 'the', 'very', 'weirdest', 'subjects', 'on', 'Earth', '.', 'It', ""'s"", 'one', 'more', 'reason', 'I', 'do', ""n't"", 'want', 'to', 'have', 'kids', '--', 'I', 'would', ""n't"", 'want', 'my', 'kids', 'to', 'feel', 'the', 'sense', 'of', 'pity/incredulousness/worry/distain/love', 'for', 'me', 'that', 'I', 'do', 'for', 'my', 'parents', '.', 'It', 'feels', 'bad', 'enough', 'from', 'this', 'side', '.', 'I', 'really', 'wish', 'my', 'relationship', 'with', 'them', 'could', 'be', 'completely', 'untroubled', ',', 'I', 'wish', 'I', 'could', 'understand', 'them', 'and', 'they', 'could', 'understand', 'me', '.', 'But', 'right', 'now', ',', 'I', 'am', 'pretty', 'happy', 'to', 'settle', 'for', 'peace', ',', 'even', 'if', 'it', 'does', 'feel', 'a', 'little', 'bit', 'shallow', '.']",581,<FreqDist with 254 samples and 581 outcomes>
1564092,male,17,Student,Aries,"25,mars,2004",   The power just went out for a split second about five minutes ago! That was really really weird man! Scared me half to death! I was talking to people online and all of a sudden everything went dark! It isn't storming either and it happened at Elizabeth's house too which is right down the road. Interesting. I had to reset the router too! lol I'm glad I took a leak about ten minutes before it happened or I would be changing boxers right about now! lol ,"['The', 'power', 'just', 'went', 'out', 'for', 'a', 'split', 'second', 'about', 'five', 'minutes', 'ago', '!', 'That', 'was', 'really', 'really', 'weird', 'man', '!', 'Scared', 'me', 'half', 'to', 'death', '!', 'I', 'was', 'talking', 'to', 'people', 'online', 'and', 'all', 'of', 'a', 'sudden', 'everything', 'went', 'dark', '!', 'It', 'is', ""n't"", 'storming', 'either', 'and', 'it', 'happened', 'at', 'Elizabeth', ""'s"", 'house', 'too', 'which', 'is', 'right', 'down', 'the', 'road', '.', 'Interesting', '.', 'I', 'had', 'to', 'reset', 'the', 'router', 'too', '!', 'lol', 'I', ""'m"", 'glad', 'I', 'took', 'a', 'leak', 'about', 'ten', 'minutes', 'before', 'it', 'happened', 'or', 'I', 'would', 'be', 'changing', 'boxers', 'right', 'about', 'now', '!', 'lol']",97,<FreqDist with 69 samples and 97 outcomes>
4231077,male,13,Non-Profit,Sagittarius,"17,August,2004","             Full of chicken and rice, that is. a personal favorite. Remembered what I was thinking of earlier: We might go Barge fishing this weekend with my Dad and his friend from work -not real sure if its a plan, though. Didnt play hockey-but did board a little at the mall in the parking garage across from Nortrums. Cracked my knee on a pole but it feels better now. Gonna go and shower, then watch some TV -later         ","['Full', 'of', 'chicken', 'and', 'rice', ',', 'that', 'is', '.', 'a', 'personal', 'favorite', '.', 'Remembered', 'what', 'I', 'was', 'thinking', 'of', 'earlier', ':', 'We', 'might', 'go', 'Barge', 'fishing', 'this', 'weekend', 'with', 'my', 'Dad', 'and', 'his', 'friend', 'from', 'work', '-not', 'real', 'sure', 'if', 'its', 'a', 'plan', ',', 'though', '.', 'Didnt', 'play', 'hockey-but', 'did', 'board', 'a', 'little', 'at', 'the', 'mall', 'in', 'the', 'parking', 'garage', 'across', 'from', 'Nortrums', '.', 'Cracked', 'my', 'knee', 'on', 'a', 'pole', 'but', 'it', 'feels', 'better', 'now', '.', 'Gon', 'na', 'go', 'and', 'shower', ',', 'then', 'watch', 'some', 'TV', '-later']",87,<FreqDist with 71 samples and 87 outcomes>
3530960,male,17,Student,Libra,"25,July,2004",              urlLink    That's me standing out in the rain. It's like there was a river running down our street.&nbsp; urlLink             ,"['urlLink', 'That', ""'s"", 'me', 'standing', 'out', 'in', 'the', 'rain', '.', 'It', ""'s"", 'like', 'there', 'was', 'a', 'river', 'running', 'down', 'our', 'street.', '&', 'nbsp', ';', 'urlLink']",25,<FreqDist with 23 samples and 25 outcomes>
1234631,female,17,indUnk,Aquarius,"16,July,2003","                 Okkkk so.... one of my friends that works with me has a crush on another guy that works with us.  The only problem is that he is 30-years-old.  And she is 16.  No, but wait.  You haven't heard the best part.  The sick part is that he also likes her.  And they both have told each other and have admitted they want to date each other.  AND she is stupid because she is like, 'I don't care that we are 14 years apart.  But its illegal so we really cannot do much about it.'  I am just like...gah, yall are freakin retarded.  And then she asks me how to stop liking him, and she is all, 'I need your advice!'  I just looked at her and was like, 'You want MY advice on how to stop liking a guy?!?!  Are you crazy?'  I mean, comeon now, since when have I pretended to know anything about how to get over a guy.  It takes me months and months.  So anyway  This morning I helped out with Summit's summer tennis camp.  This week it is for kids from like 5th grade to 8th grade.  It was pretty fun.  I actually felt really good at tennis compared to these kids.  Heh.  And they are really sweet.  Coach is being really nice too.  And Nick, Nick, and John were being really cool.  I am gonna miss being on the tennis team as well.... :(  I am gonna miss everything goshdarnit!  Oh, and today, I flirted a lot with that guy at work, Daniel.  He is so funny, it cracks me up.  And he is really nice, to me anyway.  When I say really off-the-wall stuff like.... you have a dining room and I don't so I am going to egg your house, he just smiles and laughs and you know, says something to contradict or challenge my weird thinking.  I love it. :)  Of course, this is just a flirting thing, and it is not like I am leading him on or anything.  At least, I hope I am not....  So that is it.  Tennis camp, home, shower, worked for eight hours...that's about it.  I'm off.  Toodles.  (hehe I said toodles)  -Lisa      ","['Okkkk', 'so', '...', '.', 'one', 'of', 'my', 'friends', 'that', 'works', 'with', 'me', 'has', 'a', 'crush', 'on', 'another', 'guy', 'that', 'works', 'with', 'us', '.', 'The', 'only', 'problem', 'is', 'that', 'he', 'is', '30-years-old', '.', 'And', 'she', 'is', '16', '.', 'No', ',', 'but', 'wait', '.', 'You', 'have', ""n't"", 'heard', 'the', 'best', 'part', '.', 'The', 'sick', 'part', 'is', 'that', 'he', 'also', 'likes', 'her', '.', 'And', 'they', 'both', 'have', 'told', 'each', 'other', 'and', 'have', 'admitted', 'they', 'want', 'to', 'date', 'each', 'other', '.', 'AND', 'she', 'is', 'stupid', 'because', 'she', 'is', 'like', ',', ""'"", 'I', 'do', ""n't"", 'care', 'that', 'we', 'are', '14', 'years', 'apart', '.', 'But', 'its', 'illegal', 'so', 'we', 'really', 'can', 'not', 'do', 'much', 'about', 'it', '.', ""'"", 'I', 'am', 'just', 'like', '...', 'gah', ',', 'yall', 'are', 'freakin', 'retarded', '.', 'And', 'then', 'she', 'asks', 'me', 'how', 'to', 'stop', 'liking', 'him', ',', 'and', 'she', 'is', 'all', ',', ""'"", 'I', 'need', 'your', 'advice', '!', ""'"", 'I', 'just', 'looked', 'at', 'her', 'and', 'was', 'like', ',', ""'You"", 'want', 'MY', 'advice', 'on', 'how', 'to', 'stop', 'liking', 'a', 'guy', '?', '!', '?', '!', 'Are', 'you', 'crazy', '?', ""'"", 'I', 'mean', ',', 'comeon', 'now', ',', 'since', 'when', 'have', 'I', 'pretended', 'to', 'know', 'anything', 'about', 'how', 'to', 'get', 'over', 'a', 'guy', '.', 'It', 'takes', 'me', 'months', 'and', 'months', '.', 'So', 'anyway', 'This', 'morning', 'I', 'helped', 'out', 'with', 'Summit', ""'s"", 'summer', 'tennis', 'camp', '.', 'This', 'week', 'it', 'is', 'for', 'kids', 'from', 'like', '5th', 'grade', 'to', '8th', 'grade', '.', 'It', 'was', 'pretty', 'fun', '.', 'I', 'actually', 'felt', 'really', 'good', 'at', 'tennis', 'compared', 'to', 'these', 'kids', '.', 'Heh', '.', 'And', 'they', 'are', 'really', 'sweet', '.', 'Coach', 'is', 'being', 'really', 'nice', 'too', '.', 'And', 'Nick', ',', 'Nick', ',', 'and', 'John', 'were', 'being', 'really', 'cool', '.', 'I', 'am', 'gon', 'na', 'miss', 'being', 'on', 'the', 'tennis', 'team', 'as', 'well', '...', '.', ':', '(', 'I', 'am', 'gon', 'na', 'miss', 'everything', 'goshdarnit', '!', 'Oh', ',', 'and', 'today', ',', 'I', 'flirted', 'a', 'lot', 'with', 'that', 'guy', 'at', 'work', ',', 'Daniel', '.', 'He', 'is', 'so', 'funny', ',', 'it', 'cracks', 'me', 'up', '.', 'And', 'he', 'is', 'really', 'nice', ',', 'to', 'me', 'anyway', '.', 'When', 'I', 'say', 'really', 'off-the-wall', 'stuff', 'like', '...', '.', 'you', 'have', 'a', 'dining', 'room', 'and', 'I', 'do', ""n't"", 'so', 'I', 'am', 'going', 'to', 'egg', 'your', 'house', ',', 'he', 'just', 'smiles', 'and', 'laughs', 'and', 'you', 'know', ',', 'says', 'something', 'to', 'contradict', 'or', 'challenge', 'my', 'weird', 'thinking', '.', 'I', 'love', 'it', '.', ':', ')', 'Of', 'course', ',', 'this', 'is', 'just', 'a', 'flirting', 'thing', ',', 'and', 'it', 'is', 'not', 'like', 'I', 'am', 'leading', 'him', 'on', 'or', 'anything', '.', 'At', 'least', ',', 'I', 'hope', 'I', 'am', 'not', '...', '.', 'So', 'that', 'is', 'it', '.', 'Tennis', 'camp', ',', 'home', ',', 'shower', ',', 'worked', 'for', 'eight', 'hours', '...', 'that', ""'s"", 'about', 'it', '.', 'I', ""'m"", 'off', '.', 'Toodles', '.', '(', 'hehe', 'I', 'said', 'toodles', ')', '-Lisa']",458,<FreqDist with 211 samples and 458 outcomes>
